Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Beak Direction,Fan Art Beak Direction,Swift Start,Automata Ban,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Endangered Species Protector,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Small Clutch Specialist,Viticulturalist,Wetland Scientist,Wildlife Gardener,,acceptedName,family,order,colId,wingsplainTierIndex,wingsplainTier,wingsearchLink,inFanArtPack?
Bali Starling,Leucopsar rothschildi,promoAsia,white,"Draw 1 new bonus card. Then, up to 3 times, discard the most recently drawn bonus card to draw 1 new bonus card.","The Bali starling, the sole vertebrate endemic to its namesake island, is critically endangered.",,,X,4,cavity,3,28,X,X,,1,,,1,,,,,,2,R,,,,,,,,X,,,,X,,,,X,,,,,X,,,,,,X,,X,,,,,X,,,,Leucopsar rothschildi,Sturnidae,Passeriformes,6PTWJ,,,https://navarog.github.io/wingsearch/card/448,FALSE
Baltimore Oriole,Icterus galbula,core,brown,All players gain 1 [fruit] from the supply.,Orioles weave pouch nests that hang from a tree nest.,,,,9,wild,2,30,X,,,1,,,2,,,,,,3,L,L,,,X,X,X,,,,,,X,,,,,,,X,X,,,,,X,,X,,X,X,,,X,X,,X,,Icterus galbula,Icteridae,Passeriformes,6N5WV,2,tier 1,https://navarog.github.io/wingsearch/card/21,TRUE
Barn Owl,Tyto alba,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",Barn owls use their excellent hearing to catch prey in the dark and will cache surplus for later.,X,,,5,cavity,4,107,X,X,X,,,,,2,,,,,2,N,N,,,X,X,X,X,X,X,X,,,,,,X,,,,,,X,,,,X,X,,,,,X,,,,,,Tyto alba,Tytonidae,Strigiformes,59ZVQ,4,underused tier,https://navarog.github.io/wingsearch/card/22,TRUE
Barn Swallow,Hirundo rustica,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",Barn swallows once nested in caves but now favor human-made structures.,,X,,1,wild,3,38,,X,X,1,,,,,,,,,1,R,R,,,X,X,X,X,X,X,X,,,,,X,X,X,,,X,,,,X,,,X,,,X,,,,,,X,,Hirundo rustica,Hirundinidae,Passeriformes,3M4S7,1,tier 0,https://navarog.github.io/wingsearch/card/23,TRUE
Barred Owl,Strix varia,core,brown,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.","The barred owl's haunting call sounds like ""Who cooks for you?""",X,,,3,cavity,2,107,X,,,,,,,1,,,,,1,N,N,,,X,X,,,,,,,,,,X,,,,,,,X,,,X,X,X,,,,,X,X,,,,,Strix varia,Strigidae,Strigiformes,532KR,4,underused tier,https://navarog.github.io/wingsearch/card/24,TRUE
Barrow's Goldeneye,Bucephala islandica,core,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on another bird with a [cavity] nest.",These ducks will lay their eggs in the nest of any cavity-nesting duck.,,,,5,cavity,4,71,,,X,1,1,1,,,,,,,3,L,L,,,X,,,X,,,,X,,X,X,,,,X,X,,,,X,,,X,X,,,,,,,,X,,,Bucephala islandica,Anatidae,Anseriformes,NM26,3,tier 2,https://navarog.github.io/wingsearch/card/25,TRUE
Baya Weaver,Ploceus philippinus,asia,brown,"Tuck up to 3 [card] from your hand behind this bird. If you tuck at least 1 [card], lay 1 [egg] on this bird.",These gregarious birds may weave up to 60 nests in a single tree.,,X,,3,wild,3,27,,X,X,1,2,,,,,,,,3,R,N,,,,,,,X,,,,,,,X,X,X,X,X,X,,,,,,,X,,X,X,,,,,,X,,Ploceus philippinus,Ploceidae,Passeriformes,4KH97,1,tier 0,https://navarog.github.io/wingsearch/card/361,TRUE
Bearded Reedling,Panurus biarmicus,asia,teal,"For each other bird in this column with an egg on it, lay 1 [egg] on this bird.","These birds have up to 4 broods per year, and sometimes breed the same year they were born.",,,,2,bowl,6,17,,,X,1,1,,,,,,,,2,N,N,,,,,,X,X,,,,,,,X,,,X,,,,,,,,,,,X,,,,,,X,X,,Panurus biarmicus,Panuridae,Passeriformes,4CHSV,4,underused tier,https://navarog.github.io/wingsearch/card/362,TRUE
Bell's Vireo,Vireo bellii,core,white,Draw 2 new bonus cards and keep 1.,John Graham Bell taught taxidermy to future US President Theodore Roosevelt.,,,X,4,wild,2,18,X,X,,2,,,,,,,,,2,R,,,,X,X,,,,,,,,X,,,X,,,,X,X,,,X,,,X,,X,X,,,X,,,X,,Vireo bellii,Vireonidae,Passeriformes,5BJKF,2,tier 1,https://navarog.github.io/wingsearch/card/26,FALSE
Belted Kingfisher,Megaceryle alcyon,core,pink,"When another player plays a bird in their [wetland], gain 1 [fish] from the supply.",A kingfisher burrow can go up to 2 meters into a riverbank and slopes to shed water.,,,,4,wild,4,53,,,X,,,1,,,,1,,,2,L,L,,,X,X,,,,,,,,,,,,,,,X,,,X,,,,X,X,,X,,,,,X,X,,Megaceryle alcyon,Alcedinidae,Coraciiformes,3YR2W,3,tier 2,https://navarog.github.io/wingsearch/card/27,TRUE
Bengal Florican,Houbaropsis bengalensis,promoAsia,white,"Draw and discard 3 new bonus cards and score 1 of them now: For each point, cache 1 [seed] from the supply on this bird.","This critically endangered bustard is restricted to a shrinking, fragmented grassland habitat.",,,X,6,ground,1,141,,X,,1,1,,1,,,,,,3,R,,,,,,,,X,,,,X,,,,,,X,X,X,X,,,,,X,,,,,X,,X,X,,,,Houbaropsis bengalensis,Otididae,Otidiformes,CNWCX,,,https://navarog.github.io/wingsearch/card/449,FALSE
Bewick's Wren,Thryomanes bewickii,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",These wrens have largely disappeared in the eastern part of their range due to nest predation.,,,,4,cavity,3,18,X,X,X,2,1,,,,,,,,3,R,,,,X,X,,,,,,,,X,,,X,,X,X,,,,,,,,X,,X,,,,,,,,,Thryomanes bewickii,Troglodytidae,Passeriformes,56N6Z,4,underused tier,https://navarog.github.io/wingsearch/card/28,FALSE
Black Drongo,Dicrurus macrocercus,asia,brown,"Discard any number of [card] from the tray then refill it. If at least one of the discarded birds is a [grassland] bird, lay 1 [egg] on this bird.","These birds are aggressive towards others in their territory, dive-bombing even much larger birds.",,,,3,bowl,3,27,,X,,1,,,,,,1,,,2,L,,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,X,X,,X,,,,,X,,Dicrurus macrocercus,Dicruridae,Passeriformes,6D5S3,4,underused tier,https://navarog.github.io/wingsearch/card/363,FALSE
Black Noddy,Anous minutus,oceania,brown,"Reset the birdfeeder and gain all [fish], if there are any. You may discard any of these [fish] to tuck that many [card] from the deck behind this bird instead.","A large shoal of fish may attract a flock of 5,000 or more noddies.",,X,,9,platform,1,69,,,X,,,3,,,,,,,3,L,L,,,,,,,X,,X,,,,X,,,X,,X,,,,X,,,X,,,,X,,,X,,X,,,Anous minutus,Laridae,Charadriiformes,5V9V5,4,underused tier,https://navarog.github.io/wingsearch/card/273,TRUE
Black Redstart,Phoenicurus ochruros,european,teal,Choose a habitat with no [egg]. Lay 1 [egg] on each bird in that habitat.,"Native to mountains, this bird moved into bombed areas following World War II.",,,,0,wild,4,24,,X,,1,1,,1,,,,,,3,R,R,,,,,,X,X,X,,,,,X,X,,,X,X,X,,,,,,,X,,X,X,X,,,X,,X,,Phoenicurus ochruros,Muscicapidae,Passeriformes,4GKQX,2,tier 1,https://navarog.github.io/wingsearch/card/29,TRUE
Black Robin,Petroica traversi,promoNZ,white,"Draw 2 new bonus cards. Starting with you, each player gives 1 bonus card to the player to their left. Discard 1 bonus card.","A single breeding pair of this species remained in 1980, but as of 2025 its population is about 300.",,,X,4,cavity,2,20,X,,,2,,,,,,,,,2,R,,,,,,,,,,X,,,,X,,,,,,,X,,,X,X,,X,,X,,,,X,,,,,Petroica traversi,Petroicidae,Passeriformes,6V6BV,,,https://navarog.github.io/wingsearch/card/523,FALSE
Black Rosy Finch,Leucosticte atrata,promoUS,white,"Draw 2 new bonus cards. Keep 1, and score the other now: For each point, lay 1 [egg] on this bird. Then, discard the scored bonus card.",Black rosy finches are endangered true finches that store food in gular sacs for their young.,,,X,5,cavity,3,33,,X,,2,1,,,,,,,,3,R,,,,X,,,,,,,,,,X,,,,X,X,,X,,,,,,X,,,,X,,,,,,,Leucosticte atrata,Fringillidae,Passeriformes,72668,,,https://navarog.github.io/wingsearch/card/576,FALSE
Black Skimmer,Rynchops niger,core,brown,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.","Skimmers plow the water with their beaks, snapping shut when they hit a fish.",X,,,6,ground,2,112,,,X,,,2,,,,,,,2,L,R,,,X,X,X,,,,,,,,X,,,,,,X,,X,X,,,X,,,,,,,X,,X,,,Rynchops niger,Laridae,Charadriiformes,78Z8K,2,tier 1,https://navarog.github.io/wingsearch/card/30,TRUE
Black Stork,Ciconia nigra,asia,teal,Lay 1 [egg] on each of the birds immediately to the left and right of this bird.,This shy species builds its large nests primarily in old-growth forests with very large trees.,,,,3,platform,2,155,X,,X,,,1,,1,,,,,2,L,L,,,,,,X,X,X,,,,,X,X,X,,,,,,,X,,,X,,,,X,,X,X,,,,,Ciconia nigra,Ciconiidae,Ciconiiformes,5YTSK,3,tier 2,https://navarog.github.io/wingsearch/card/364,TRUE
Black Swan,Cygnus atratus,oceania,yellow,"Lay 1 [egg] on each of your birds with a wingspan over 100cm, including this one.",These birds were introduced to New Zealand from Australia in the 1860s.,,,,6,ground,3,180,,,X,,1,,,,,2,,,3,R,R,,,,,,,,,X,,,,X,,,,X,X,X,,,,,,X,,X,,,,,,,X,,,Cygnus atratus,Anatidae,Anseriformes,32ZQ4,1,tier 0,https://navarog.github.io/wingsearch/card/274,TRUE
Black Tern,Chlidonias niger,core,brown,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",These terns build floating nests out of marsh plants.,,,,4,wild,2,61,,,X,1,,1,,,,,/,,1,R,,,,X,X,X,X,X,X,,,,,X,,,,,,X,,,X,,,,X,,,X,,,X,,X,X,,Chlidonias niger,Laridae,Charadriiformes,5Y972,4,underused tier,https://navarog.github.io/wingsearch/card/31,FALSE
