Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Swift Start,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Endangered Species Protector,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Small Clutch Specialist,Viticulturalist,Wetland Scientist,Wildlife Gardener,,acceptedName,family,order,colId,wingsplainTierIndex,wingsplainTier,wingsearchLink,inFanArtPack?
American Robin,Turdus migratorius,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",Robins have been known to roost in groups of a hundred thousand or more.,,X,,1,bowl,4,43,X,X,,1,,,1,,,,/,,1,,X,X,,,,,,,X,,,X,X,X,,,,,,,,,,,,,,,,,X,,X,,Turdus migratorius,Turdidae,Passeriformes,59PMB,2,tier 1,https://navarog.github.io/wingsearch/card/11,TRUE
American White Pelican,Pelecanus erythrorhynchos,core,brown,Discard 1 [fish] to tuck 2 [card] from the deck behind this bird.,Pelicans work together to herd fish and then scoop them up.,,X,,5,ground,1,274,,,X,,,2,,,,,,,2,,X,X,,,,,,,X,,X,,,X,,,X,,,X,,,X,,,,,,,X,,X,,,Pelecanus erythrorhynchos,Pelecanidae,Pelecaniformes,6TYWG,4,underused tier,https://navarog.github.io/wingsearch/card/12,TRUE
American Woodcock,Scolopax minor,core,,,The woodcock's amazing mating display involves repeated dives from 90 meters.,,,,9,ground,2,46,X,X,,2,1,,,,,,,,3,,X,X,,,,,,,X,,,,X,,X,X,X,,,,,,,,,,,,,X,,,,,Scolopax minor,Scolopacidae,Charadriiformes,6XXHP,2,tier 1,https://navarog.github.io/wingsearch/card/13,TRUE
Anhinga,Anhinga anhinga,core,brown,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.","This bird is called ""snakebird""---it swims with only head and neck above water.",X,,,6,platform,2,114,,,X,,,2,,,,,,,2,,X,X,X,,,,,,,,,,,,,,,,X,X,,,X,,,,X,,,X,,X,,,Anhinga anhinga,Anhingidae,Suliformes,672B8,4,underused tier,https://navarog.github.io/wingsearch/card/14,TRUE
Anna's Hummingbird,Calypte anna,core,brown,"Each player gains 1 [die] from the birdfeeder, starting with the player of your choice.",These birds' impressive mating displays involve diving from over 30 meters in the air.,,,,4,bowl,2,13,X,X,X,,,,,,,1,,,1,,X,,,,,,,,,X,,,X,,,,,,,,,,,,X,X,,,,X,,,X,,Calypte anna,Trochilidae,Apodiformes,Q6PD,2,tier 1,https://navarog.github.io/wingsearch/card/15,FALSE
Ash-Throated Flycatcher,Myiarchus cinerascens,core,white,Lay 1 [egg] on each of your birds with a [cavity] nest.,These birds are adapted to dry places: they get all their water from their food.,,,,4,cavity,4,30,,X,,2,,,1,,,,,,3,,X,X,,,,,,X,,,X,,,,,X,,,,,,,,X,,X,,X,,,X,,,,Myiarchus cinerascens,Tyrannidae,Passeriformes,452NK,3,tier 2,https://navarog.github.io/wingsearch/card/16,FALSE
Asian Emerald Dove,Chalcophaps indica,asia,white,Lay 2 [egg] on each other bird in this column.,This is the state bird of the Indian state of Tamil Nadu.,,,,6,platform,2,44,X,X,,,1,,2,,,,,,3,,,,,,X,,,,X,,X,,X,,X,X,,,,,,,,,,,X,,,X,X,,,,Chalcophaps indica,Columbidae,Columbiformes,TGJN,3,tier 2,https://navarog.github.io/wingsearch/card/358,FALSE
Asian Koel,Eudynamys scolopaceus,asia,pink,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [platform] nest. You may go 3 over its egg limit while using this power.",Male koels may distract a bird from its nest so their partner can lay eggs there.,,,,4,,0,62,X,X,X,1,,,1,,,,,,2,,,,,,X,,,,X,,,,X,,,,,,,,,,,,,,,,,X,X,,,,Eudynamys scolopaceus,Cuculidae,Cuculiformes,3C39Q,2,tier 1,https://navarog.github.io/wingsearch/card/359,FALSE
Atlantic Puffin,Fratercula arctica,core,white,Draw 2 new bonus cards and keep 1.,Puffins' breeding areas are threatened by climate change.,,,X,8,wild,1,53,,,X,,,3,,,,,,,3,,X,,,X,X,,,,X,,,,,,,X,X,X,,X,,,,X,,,X,,,X,,X,X,,Fratercula arctica,Alcidae,Charadriiformes,6JMR3,1,tier 0,https://navarog.github.io/wingsearch/card/17,TRUE
Audouin's Gull,Ichthyaetus audouinii,european,brown,Draw 2 [card] from the deck. Tuck 1 behind this bird and keep the other.,"The population of Audouin's gulls is recovering nicely, from a low of about 1,000 pairs in the 1960s.",,X,,1,ground,2,132,,,X,,,1,,,,1,,,2,,,,,X,,X,,,,X,,X,,X,,,X,,,X,,,X,,X,,,,,X,,X,,,Ichthyaetus audouinii,Laridae,Charadriiformes,6N5PM,1,tier 0,https://navarog.github.io/wingsearch/card/18,FALSE
Australasian Pipit,Anthus novaeseelandiae,oceania,yellow,"Tuck 1 [card] from the deck behind each bird in your [grassland], including this one.",This grassland bird also thrives in human-made grasslands like gardens and playing fields.,,X,,3,ground,4,31,,X,,1,1,,,,,,,,2,,,,,,,,X,,X,,,X,,X,X,,X,,,,,,,,,,,X,,,,,,,Anthus novaeseelandiae,Motacillidae,Passeriformes,67KF2,4,underused tier,https://navarog.github.io/wingsearch/card/264,FALSE
Australasian Shoveler,Spatula rhynchotis,oceania,brown,Choose 1 other player. You both draw 1 [card] from the deck.,"This bird’s Māori name, kuruwhengi, means ""snuffle.""",,,,4,ground,4,75,,,X,1,1,,,,,,,,2,,,,,,,,X,,X,,,,,,X,,X,,,,,,X,,,,,,,,,X,,,Spatula rhynchotis,Anatidae,Anseriformes,9HKY5,4,underused tier,https://navarog.github.io/wingsearch/card/265,FALSE
Australian Ibis,Threskiornis moluccus,oceania,brown,"Shuffle the discard pile, then draw 2 [card] from it. Choose 1 and tuck it behind this bird or add it to your hand. Discard the other.","In urban areas, this bird is nicknamed ""bin chicken"" for its habit of eating trash.",,X,,5,platform,2,118,,X,X,1,,1,,,,1,,,3,,,,,,X,,X,,X,,,,X,X,,X,,,,X,,,X,,X,,X,,,X,,,,,Threskiornis molucca,Threskiornithidae,Pelecaniformes,7C9X4,2,tier 1,https://navarog.github.io/wingsearch/card/266,TRUE
Australian Magpie,Gymnorhina tibicen,oceania,yellow,"Discard 1 [egg] from each bird in this row and column that has an [egg] on it, excluding this bird. For each discarded [egg], cache 2 [seed] from the supply on this bird.",These territorial birds will swoop at humans who get too close to their nests.,,,,4,platform,2,75,,X,,1,,,,2,,,,,3,,,,,,,,X,,X,,,,,,,X,,,,,,,X,,,,X,X,X,X,,,,,Gymnorhina tibicen,Cracticidae,Passeriformes,6L7RT,3,tier 2,https://navarog.github.io/wingsearch/card/267,TRUE
Australian Owlet-Nightjar,Aegotheles cristatus,oceania,pink,"When another player takes the ""gain food"" action, gain 1 [invertebrate] from the birdfeeder, if there is one, at the end of their turn.","This small nocturnal bird is also known as the moth owl, but it is not an owl.",,,,2,cavity,2,28,X,X,X,1,,,,1,,,/,,1,,,,,,,,X,,X,,,X,X,,,,,,,,,,,X,,X,,,X,X,,,,,Aegotheles cristatus,Aegothelidae,Apodiformes,64WVG,4,underused tier,https://navarog.github.io/wingsearch/card/268,FALSE
Australian Raven,Corvus coronoides,oceania,yellow,Cache up to 5 [wild] from your supply on this bird.,"Ravens will cache extra food under debris, in grass tussocks, or in the soil.",,,,7,platform,3,100,X,X,X,1,,,,1,,1,,,3,,,,,,,,X,,X,,,,X,,,X,,,,,,,X,,X,,X,,X,,,,,,Corvus coronoides,Corvidae,Passeriformes,YNHK,2,tier 1,https://navarog.github.io/wingsearch/card/269,TRUE
Australian Reed Warbler,Acrocephalus australis,oceania,white,Play another bird in your wetland. Pay its normal cost with a 1 [egg] discount.,"These birds like to perch on dense, vertical wetland vegetation like reeds and rushes.",,,,2,bowl,3,21,,,X,1,,,,,,,,,1,,,,,,X,,X,,X,,,X,,,,,,,,,X,,,,,X,,,,,,X,X,,Acrocephalus australis,Acrocephalidae,Passeriformes,9L4B,3,tier 2,https://navarog.github.io/wingsearch/card/270,FALSE
Australian Shelduck,Tadorna tadornoides,oceania,brown,Draw 1 face-up [card] from the tray with a [cavity] or [star] nest. You may reset or refill the tray before doing so.,"These birds nest in tree cavities, holes in banks, or similar locations.",,,,3,cavity,4,113,,,X,1,1,,,,,,,,2,,,,,,,,X,,X,,,X,,,X,,,,,,,,X,X,,,,,,,,X,,,Tadorna tadornoides,Anatidae,Anseriformes,54GHW,4,underused tier,https://navarog.github.io/wingsearch/card/271,TRUE
Australian Zebra Finch,Taeniopygia castanotis,oceania,brown,"If the player to your right has a [seed] in their personal supply, tuck a [card] from the deck behind this bird.","Zebra finches will nest in colonies of as many as 50, building round nests with a side entrance.",,,,1,wild,3,22,,X,,,1,,,,,,,,1,,,,,,,,X,,X,,,X,,,X,,X,,,,,,,X,,X,X,X,,,,,X,,Taeniopygia guttata castanotis,Estrildidae,Passeriformes,BP4B5,4,underused tier,https://navarog.github.io/wingsearch/card/272,TRUE
Azure Tit,Cyanistes cyanus,asia,brown,"Gain 1 [invertebrate], [seed], or [fruit] from the supply.",This species will hybridize with the Eurasian Blue Tit where their ranges overlap.,,,,2,cavity,4,22,X,,,1,1,,,,,,,,2,,,,,,X,,,,,,X,X,,,X,,,,,,,X,,X,,X,,,,,,,,,Cyanistes cyanus,Paridae,Passeriformes,32NH3,2,tier 1,https://navarog.github.io/wingsearch/card/360,TRUE
Baird's Sparrow,Ammodramus bairdii,core,brown,Lay 1 [egg] on any bird.,Spencer Fullerton Baird was the first curator of the Smithsonian.,,,,3,ground,2,23,,X,,1,1,,,,,,,,2,,X,X,,,,,,,,X,,X,,,X,,X,,,,,,,,,X,,X,,X,,,,,Centronyx bairdii,Passerellidae,Passeriformes,9G7J8,2,tier 1,https://navarog.github.io/wingsearch/card/19,FALSE
Bald Eagle,Haliaeetus leucocephalus,core,white,Gain all [fish] that are in the birdfeeder.,Bald eagles steal fish. Benjamin Franklin thought this was a bad choice for the US national bird.,,,,9,platform,1,203,,,X,,,2,,1,,,,,3,,X,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,X,X,,X,,,Haliaeetus leucocephalus,Accipitridae,Accipitriformes,3JBJW,2,tier 1,https://navarog.github.io/wingsearch/card/20,TRUE
Baltimore Oriole,Icterus galbula,core,brown,All players gain 1 [fruit] from the supply.,Orioles weave pouch nests that hang from a tree nest.,,,,9,wild,2,30,X,,,1,,,2,,,,,,3,,X,X,X,,,,,,X,,,,,,,X,X,,,,,X,,X,,X,X,,,X,X,,X,,Icterus galbula,Icteridae,Passeriformes,6N5WV,2,tier 1,https://navarog.github.io/wingsearch/card/21,TRUE
Barn Owl,Tyto alba,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",Barn owls use their excellent hearing to catch prey in the dark and will cache surplus for later.,X,,,5,cavity,4,107,X,X,X,,,,,2,,,,,2,,X,X,X,X,X,X,X,,,,,,X,,,,,,X,,,,X,X,,,,,X,,,,,,Tyto alba,Tytonidae,Strigiformes,59ZVQ,4,underused tier,https://navarog.github.io/wingsearch/card/22,TRUE
Barn Swallow,Hirundo rustica,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",Barn swallows once nested in caves but now favor human-made structures.,,X,,1,wild,3,38,,X,X,1,,,,,,,,,1,,X,X,X,X,X,X,X,,,,,X,X,X,,,X,,,,X,,,X,,,X,,,,,,X,,Hirundo rustica,Hirundinidae,Passeriformes,3M4S7,1,tier 0,https://navarog.github.io/wingsearch/card/23,TRUE
Barred Owl,Strix varia,core,brown,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.","The barred owl's haunting call sounds like ""Who cooks for you?""",X,,,3,cavity,2,107,X,,,,,,,1,,,,,1,,X,X,,,,,,,,,,X,,,,,,,X,,,X,X,X,,,,,X,X,,,,,Strix varia,Strigidae,Strigiformes,532KR,4,underused tier,https://navarog.github.io/wingsearch/card/24,TRUE
Barrow's Goldeneye,Bucephala islandica,core,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on another bird with a [cavity] nest.",These ducks will lay their eggs in the nest of any cavity-nesting duck.,,,,5,cavity,4,71,,,X,1,1,1,,,,,,,3,,X,,,X,,,,X,,X,X,,,,X,X,,,,X,,,X,X,,,,,,,,X,,,Bucephala islandica,Anatidae,Anseriformes,NM26,3,tier 2,https://navarog.github.io/wingsearch/card/25,TRUE
Baya Weaver,Ploceus philippinus,asia,brown,"Tuck up to 3 [card] from your hand behind this bird. If you tuck at least 1 [card], lay 1 [egg] on this bird.",These gregarious birds may weave up to 60 nests in a single tree.,,X,,3,wild,3,27,,X,X,1,2,,,,,,,,3,,,,,,X,,,,,,,X,X,X,X,X,X,,,,,,,X,,X,X,,,,,,X,,Ploceus philippinus,Ploceidae,Passeriformes,4KH97,1,tier 0,https://navarog.github.io/wingsearch/card/361,TRUE
Bearded Reedling,Panurus biarmicus,asia,teal,"For each other bird in this column with an egg on it, lay 1 [egg] on this bird.","These birds have up to 4 broods per year, and sometimes breed the same year they were born.",,,,2,bowl,6,17,,,X,1,1,,,,,,,,2,,,,,X,X,,,,,,,X,,,X,,,,,,,,,,,X,,,,,,X,X,,Panurus biarmicus,Panuridae,Passeriformes,4CHSV,4,underused tier,https://navarog.github.io/wingsearch/card/362,TRUE
Bell's Vireo,Vireo bellii,core,white,Draw 2 new bonus cards and keep 1.,John Graham Bell taught taxidermy to future US President Theodore Roosevelt.,,,X,4,wild,2,18,X,X,,2,,,,,,,,,2,,X,X,,,,,,,,X,,,X,,,,X,X,,,X,,,X,,X,X,,,X,,,X,,Vireo bellii,Vireonidae,Passeriformes,5BJKF,2,tier 1,https://navarog.github.io/wingsearch/card/26,FALSE
Belted Kingfisher,Megaceryle alcyon,core,pink,"When another player plays a bird in their [wetland], gain 1 [fish] from the supply.",A kingfisher burrow can go up to 2 meters into a riverbank and slopes to shed water.,,,,4,wild,4,53,,,X,,,1,,,,1,,,2,,X,X,,,,,,,,,,,,,,,X,,,X,,,,X,X,,X,,,,,X,X,,Megaceryle alcyon,Alcedinidae,Coraciiformes,3YR2W,3,tier 2,https://navarog.github.io/wingsearch/card/27,TRUE
Bewick's Wren,Thryomanes bewickii,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",These wrens have largely disappeared in the eastern part of their range due to nest predation.,,,,4,cavity,3,18,X,X,X,2,1,,,,,,,,3,,X,X,,,,,,,,X,,,X,,X,X,,,,,,,,X,,X,,,,,,,,,Thryomanes bewickii,Troglodytidae,Passeriformes,56N6Z,4,underused tier,https://navarog.github.io/wingsearch/card/28,FALSE
Black Drongo,Dicrurus macrocercus,asia,brown,"Discard any number of [card] from the tray then refill it. If at least one of the discarded birds is a [grassland] bird, lay 1 [egg] on this bird.","These birds are aggressive towards others in their territory, dive-bombing even much larger birds.",,,,3,bowl,3,27,,X,,1,,,,,,1,,,2,,,,,,X,,,,,,X,X,,,,,,,,,,,,,X,X,,X,,,,,X,,Dicrurus macrocercus,Dicruridae,Passeriformes,6D5S3,4,underused tier,https://navarog.github.io/wingsearch/card/363,FALSE
Black Noddy,Anous minutus,oceania,brown,"Reset the birdfeeder and gain all [fish], if there are any. You may discard any of these [fish] to tuck that many [card] from the deck behind this bird instead.","A large shoal of fish may attract a flock of 5,000 or more noddies.",,X,,9,platform,1,69,,,X,,,3,,,,,,,3,,,,,,X,,X,,,,X,,,X,,X,,,,X,,,X,,,,X,,,X,,X,,,Anous minutus,Laridae,Charadriiformes,5V9V5,4,underused tier,https://navarog.github.io/wingsearch/card/273,TRUE
Black Redstart,Phoenicurus ochruros,european,teal,Choose a habitat with no [egg]. Lay 1 [egg] on each bird in that habitat.,"Native to mountains, this bird moved into bombed areas following World War II.",,,,0,wild,4,24,,X,,1,1,,1,,,,,,3,,,,,X,X,X,,,,,X,X,,,X,X,X,,,,,,,X,,X,X,X,,,X,,X,,Phoenicurus ochruros,Muscicapidae,Passeriformes,4GKQX,2,tier 1,https://navarog.github.io/wingsearch/card/29,TRUE
Black Skimmer,Rynchops niger,core,brown,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.","Skimmers plow the water with their beaks, snapping shut when they hit a fish.",X,,,6,ground,2,112,,,X,,,2,,,,,,,2,,X,X,X,,,,,,,,X,,,,,,X,,X,X,,,X,,,,,,,X,,X,,,Rynchops niger,Laridae,Charadriiformes,78Z8K,2,tier 1,https://navarog.github.io/wingsearch/card/30,TRUE
Black Stork,Ciconia nigra,asia,teal,Lay 1 [egg] on each of the birds immediately to the left and right of this bird.,This shy species builds its large nests primarily in old-growth forests with very large trees.,,,,3,platform,2,155,X,,X,,,1,,1,,,,,2,,,,,X,X,X,,,,,X,X,X,,,,,,,X,,,X,,,,X,,X,X,,,,,Ciconia nigra,Ciconiidae,Ciconiiformes,5YTSK,3,tier 2,https://navarog.github.io/wingsearch/card/364,TRUE
Black Swan,Cygnus atratus,oceania,yellow,"Lay 1 [egg] on each of your birds with a wingspan over 100cm, including this one.",These birds were introduced to New Zealand from Australia in the 1860s.,,,,6,ground,3,180,,,X,,1,,,,,2,,,3,,,,,,,,X,,,,X,,,,X,X,X,,,,,,X,,X,,,,,,,X,,,Cygnus atratus,Anatidae,Anseriformes,32ZQ4,1,tier 0,https://navarog.github.io/wingsearch/card/274,TRUE
Black Tern,Chlidonias niger,core,brown,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",These terns build floating nests out of marsh plants.,,,,4,wild,2,61,,,X,1,,1,,,,,/,,1,,X,X,X,X,X,X,,,,,X,,,,,,X,,,X,,,,X,,,X,,,X,,X,X,,Chlidonias niger,Laridae,Charadriiformes,5Y972,4,underused tier,https://navarog.github.io/wingsearch/card/31,FALSE
Black Vulture,Coragyps atratus,core,pink,"When another player's [predator] succeeds, gain 1 [die] from the birdfeeder.","Turkey vultures have a better sense of smell, so black vultures follow them to food.",,,,2,cavity,1,150,X,,,,,,,,,,,,0,,X,X,X,,,,,,,,X,X,,,,,,,,,,X,X,X,,,,,,X,,,,,Coragyps atratus,Cathartidae,Accipitriformes,Y9SZ,2,tier 1,https://navarog.github.io/wingsearch/card/32,FALSE
Black Woodpecker,Dryocopus martius,european,brown,Gain all [invertebrate] that are in the birdfeeder.,Tree holes made by this bird provide homes for other species.,,,,4,cavity,2,70,X,,,2,,,1,,,,,,3,,,,,X,X,,,,,,X,,,,,X,,,,,,X,X,X,,,,,,X,X,,,,Dryocopus martius,Picidae,Piciformes,37VCZ,2,tier 1,https://navarog.github.io/wingsearch/card/33,FALSE
Black-Bellied Whistling-Duck,Dendrocygna autumnalis,core,brown,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.,These ducks really do whistle.,,X,,2,cavity,5,76,,,X,,2,,,,,,,,2,,X,X,X,,,,,X,,,X,X,,X,X,,,,,,,,X,X,,,,,,,,X,,,Dendrocygna autumnalis,Anatidae,Anseriformes,34Q2Z,4,underused tier,https://navarog.github.io/wingsearch/card/34,TRUE
Black-Billed Magpie,Pica hudsonia,core,pink,"When another player's [predator] succeeds, gain 1 [die] from the birdfeeder.",These omnivores steal eggs and eat carrion along with a diversity of other foods.,,,,3,wild,3,64,,X,,,,,,,,2,,,2,,X,,,,,,,X,,,X,X,,,,,X,,,,,,,X,X,,X,X,,,,,X,,Pica hudsonia,Corvidae,Passeriformes,4HPXK,4,underused tier,https://navarog.github.io/wingsearch/card/35,TRUE
Black-Chinned Hummingbird,Archilochus alexandri,core,brown,All players gain 1 [fruit] from the supply.,"To display, males of this species will fly up 30 m then dive, reaching speeds near 100 kilometers per hour.",,,,4,bowl,2,8,X,X,X,,,,,,,1,,,1,X,X,,,,,,,X,,,X,,X,,,,,,,,,,,,X,X,,,,X,,,X,,Archilochus alexandri,Trochilidae,Apodiformes,G96Y,4,underused tier,https://navarog.github.io/wingsearch/card/36,TRUE
Black-Crowned Night-Heron,Nycticorax nycticorax,core,brown,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,"Night herons eat carrion and eggs in addition to fish, rodents, and invertebrates.",,,,9,platform,2,112,,,X,1,,1,,1,,,,,3,,X,X,X,X,X,X,X,X,,,X,,,,,X,,,,X,,,X,,,,X,,X,X,,X,,,Nycticorax nycticorax,Ardeidae,Pelecaniformes,485KR,3,tier 2,https://navarog.github.io/wingsearch/card/37,FALSE
Black-Headed Gull,Chroicocephalus ridibundus,european,brown,Steal 1 [wild] from another player's supply and add it to your own supply. They gain 1 [die] from the birdfeeder.,This species is an opportunistic feeder that will consume anything from scraps to fish.,,,,3,ground,2,102,,,X,1,,,,,,1,,,2,,X,,,X,X,X,,X,,,X,X,,,,,X,,,,,,X,,X,,,,,X,,X,,,Chroicocephalus ridibundus,Laridae,Charadriiformes,5YGFK,2,tier 1,https://navarog.github.io/wingsearch/card/38,FALSE
Black-Naped Oriole,Oriolus chinensis,asia,teal,"If you used all 4 actions this round, gain 1 [wild] from the supply, lay 1 [egg] on any bird, and draw 1 [card] from the deck.","Due to geographic variation, the Black-naped oriole has over a dozen subspecies.",,,,5,bowl,2,50,X,X,,1,,,2,,,,,,3,,,,,,X,,,X,,,X,,X,,,X,,,,,,,,,,,,,,X,X,,X,,Oriolus chinensis,Oriolidae,Passeriformes,757GG,3,tier 2,https://navarog.github.io/wingsearch/card/365,FALSE
Black-Necked Stilt,Himantopus mexicanus,core,white,Draw 2 [card].,"When not breeding, stilts form closely packed groups and will mob predators.",,,,4,ground,2,74,,,X,2,,,,,,,,,2,,X,X,X,,,,,X,,,X,,,,,,X,,,,X,,X,,,,,,,X,,X,,,Himantopus mexicanus,Recurvirostridae,Charadriiformes,6LWTY,1,tier 0,https://navarog.github.io/wingsearch/card/39,TRUE
Black-Shouldered Kite,Elanus axillaris,oceania,brown,"Reset the birdfeeder and gain 1 [rodent], if there is one. You may give it to another player; if you do, lay up to 3 [egg] on this bird.","In their mating display, a female kite will grab food from a male’s talons while flipping upside-down.",X,,,2,platform,3,87,,X,,,,,,2,,,,,2,,,,,,,,X,X,,,X,X,,,,,,,X,,,,X,,,,X,X,X,,,,,,Elanus axillaris,Accipitridae,Accipitriformes,38YJ6,4,underused tier,https://navarog.github.io/wingsearch/card/275,FALSE
